date,time,Ch0,Ch1
07/08/2026,21:02:49,21.613,22.199,Open
07/08/2026,21:02:50,21.613,22.214,Open
07/08/2026,21:02:51,21.622,22.261,Open
07/08/2026,21:02:52,21.615,22.355,Open
07/08/2026,21:02:53,21.61,22.4,Open
07/08/2026,21:02:54,21.651,22.42,Open
07/08/2026,21:02:55,21.714,22.434,Open
07/08/2026,21:02:56,21.701,22.403,Open
07/08/2026,21:02:57,21.693,22.391,Open
07/08/2026,21:02:58,21.693,22.414,Open
07/08/2026,21:02:59,21.668,22.411,Open
07/08/2026,21:03:00,21.658,22.417,Open
07/08/2026,21:03:01,21.648,22.443,Open
07/08/2026,21:03:02,21.642,22.468,Open
07/08/2026,21:03:03,21.655,22.477,Open
07/08/2026,21:03:04,21.645,22.475,Open
07/08/2026,21:03:05,21.647,22.468,Open
07/08/2026,21:03:06,21.646,22.439,Open
07/08/2026,21:03:07,21.644,22.437,Open
07/08/2026,21:03:08,21.638,22.437,Open
07/08/2026,21:03:09,21.632,22.436,Open
07/08/2026,21:03:10,21.622,22.405,Open
07/08/2026,21:03:11,21.647,22.372,Open
07/08/2026,21:03:12,21.639,22.307,Open
07/08/2026,21:03:13,21.633,22.297,Open
07/08/2026,21:03:14,21.62,22.28,Open
07/08/2026,21:03:15,21.623,22.214,Open
07/08/2026,21:03:16,21.63,22.17,Open
07/08/2026,21:03:17,21.632,22.197,Open
07/08/2026,21:03:18,21.623,22.225,Open
07/08/2026,21:03:19,21.631,22.26,Open
07/08/2026,21:03:20,21.64,22.282,Open
07/08/2026,21:03:21,21.635,22.294,Open
07/08/2026,21:03:22,21.629,22.282,Open
07/08/2026,21:03:23,21.638,22.29,Open
07/08/2026,21:03:24,21.625,22.274,Open
07/08/2026,21:03:25,21.631,22.294,Open
07/08/2026,21:03:26,21.617,22.313,Open
07/08/2026,21:03:27,21.628,22.339,Open
07/08/2026,21:03:28,21.641,22.318,Open
07/08/2026,21:03:29,21.72,22.341,Open
07/08/2026,21:03:30,21.78,22.329,Open
07/08/2026,21:03:31,21.806,22.328,Open
07/08/2026,21:03:32,21.82,22.325,Open
07/08/2026,21:03:33,21.885,22.313,Open
07/08/2026,21:03:34,21.883,22.291,Open
07/08/2026,21:03:35,21.862,22.308,Open
07/08/2026,21:03:36,21.829,22.305,Open
07/08/2026,21:03:37,21.785,22.29,Open
07/08/2026,21:03:38,21.775,22.275,Open
07/08/2026,21:03:39,21.756,22.261,Open
07/08/2026,21:03:40,21.742,22.259,Open
07/08/2026,21:03:41,21.733,22.289,Open
07/08/2026,21:03:42,21.715,22.317,Open
07/08/2026,21:03:43,21.7,22.286,Open
07/08/2026,21:03:44,21.694,22.242,Open
07/08/2026,21:03:45,21.682,22.164,Open
07/08/2026,21:03:46,21.663,22.154,Open
07/08/2026,21:03:47,21.665,22.125,Open
07/08/2026,21:03:48,21.649,22.091,Open
07/08/2026,21:03:49,21.652,22.057,Open
07/08/2026,21:03:50,21.652,22.053,Open
07/08/2026,21:03:51,21.652,22.098,Open
07/08/2026,21:03:52,21.633,22.128,Open
07/08/2026,21:03:53,21.646,22.172,Open
07/08/2026,21:03:54,21.635,22.165,Open
07/08/2026,21:03:55,21.637,22.142,Open
07/08/2026,21:03:56,21.629,22.14,Open
07/08/2026,21:03:57,21.625,22.164,Open
07/08/2026,21:03:58,21.618,22.175,Open
07/08/2026,21:03:59,21.624,22.212,Open
07/08/2026,21:04:00,21.633,22.226,Open
07/08/2026,21:04:01,21.624,22.246,Open
07/08/2026,21:04:02,21.632,22.271,Open
07/08/2026,21:04:03,21.609,22.261,Open
07/08/2026,21:04:04,21.607,22.23,Open
07/08/2026,21:04:05,21.612,22.179,Open
07/08/2026,21:04:06,21.618,22.154,Open
07/08/2026,21:04:07,21.606,22.138,Open
07/08/2026,21:04:08,21.609,22.1,Open
07/08/2026,21:04:09,21.6,22.065,Open
07/08/2026,21:04:10,21.588,22.055,Open
07/08/2026,21:04:11,21.6,22.056,Open
07/08/2026,21:04:12,21.594,22.04,Open
07/08/2026,21:04:13,21.58,22.035,Open
07/08/2026,21:04:14,21.568,22.074,Open
07/08/2026,21:04:15,21.572,22.085,Open
07/08/2026,21:04:16,21.578,22.083,Open
07/08/2026,21:04:17,21.569,22.109,Open
07/08/2026,21:04:18,21.588,22.179,Open
07/08/2026,21:04:19,21.586,22.184,Open
07/08/2026,21:04:20,21.589,22.185,Open
07/08/2026,21:04:21,21.596,22.193,Open
07/08/2026,21:04:22,21.618,22.241,Open
07/08/2026,21:04:23,21.617,22.288,Open
07/08/2026,21:04:24,21.619,22.299,Open
07/08/2026,21:04:25,21.598,22.283,Open
07/08/2026,21:04:26,21.586,22.268,Open
07/08/2026,21:04:27,21.569,22.217,Open
07/08/2026,21:04:28,21.544,22.188,Open
07/08/2026,21:04:29,21.56,22.205,Open
07/08/2026,21:04:30,21.569,22.242,Open
07/08/2026,21:04:31,21.584,22.276,Open
07/08/2026,21:04:32,21.604,22.31,Open
07/08/2026,21:04:33,21.592,22.292,Open
07/08/2026,21:04:34,21.606,22.278,Open
07/08/2026,21:04:35,21.615,22.284,Open
07/08/2026,21:04:36,21.603,22.287,Open
07/08/2026,21:04:37,21.602,22.249,Open
07/08/2026,21:04:38,21.602,22.207,Open
07/08/2026,21:04:39,21.601,22.19,Open
07/08/2026,21:04:40,21.595,22.146,Open
07/08/2026,21:04:41,21.589,22.064,Open
07/08/2026,21:04:42,21.604,22.006,Open
07/08/2026,21:04:43,21.605,21.949,Open
07/08/2026,21:04:44,21.598,21.902,Open
07/08/2026,21:04:45,21.6,21.875,Open
07/08/2026,21:04:46,21.588,21.848,Open
07/08/2026,21:04:47,21.588,21.809,Open
07/08/2026,21:04:48,21.592,21.771,Open
07/08/2026,21:04:49,21.585,21.76,Open
07/08/2026,21:04:50,21.587,21.742,Open
07/08/2026,21:04:51,21.582,21.732,Open
07/08/2026,21:04:52,21.588,21.724,Open
07/08/2026,21:04:53,21.567,21.693,Open
07/08/2026,21:04:54,21.568,21.697,Open
07/08/2026,21:04:55,21.579,21.719,Open
07/08/2026,21:04:56,21.568,21.744,Open
07/08/2026,21:04:57,21.56,21.745,Open
07/08/2026,21:04:58,21.544,21.738,Open
07/08/2026,21:04:59,21.548,21.745,Open
07/08/2026,21:05:00,21.569,21.773,Open
07/08/2026,21:05:01,21.573,21.829,Open
07/08/2026,21:05:02,21.565,21.855,Open
07/08/2026,21:05:03,21.566,21.862,Open
07/08/2026,21:05:04,21.575,21.859,Open
07/08/2026,21:05:05,21.593,21.841,Open
07/08/2026,21:05:06,21.574,21.821,Open
07/08/2026,21:05:07,21.571,21.783,Open
07/08/2026,21:05:08,21.588,21.773,Open
07/08/2026,21:05:09,21.58,21.747,Open
07/08/2026,21:05:10,21.586,21.796,Open
07/08/2026,21:05:11,21.599,21.803,Open
07/08/2026,21:05:12,21.585,21.795,Open
07/08/2026,21:05:13,21.571,21.791,Open
07/08/2026,21:05:14,21.56,21.802,Open
07/08/2026,21:05:15,21.556,21.824,Open
07/08/2026,21:05:16,21.529,21.83,Open
07/08/2026,21:05:17,21.538,21.859,Open
07/08/2026,21:05:18,21.533,21.865,Open
07/08/2026,21:05:19,21.544,21.921,Open
07/08/2026,21:05:20,21.546,22.027,Open
07/08/2026,21:05:21,21.55,22.123,Open
07/08/2026,21:05:22,21.552,22.209,Open
07/08/2026,21:05:23,21.55,22.246,Open
07/08/2026,21:05:24,21.562,22.256,Open
07/08/2026,21:05:25,21.575,22.244,Open
07/08/2026,21:05:26,21.586,22.253,Open
07/08/2026,21:05:27,21.582,22.268,Open
07/08/2026,21:05:28,21.582,22.265,Open
07/08/2026,21:05:29,21.58,22.256,Open
07/08/2026,21:05:30,21.582,22.243,Open
07/08/2026,21:05:31,21.576,22.213,Open
07/08/2026,21:05:32,21.586,22.203,Open
07/08/2026,21:05:33,21.581,22.2,Open
07/08/2026,21:05:34,21.569,22.18,Open
07/08/2026,21:05:35,21.561,22.184,Open
07/08/2026,21:05:36,21.573,22.198,Open
07/08/2026,21:05:37,21.565,22.18,Open
07/08/2026,21:05:38,21.574,22.164,Open
07/08/2026,21:05:39,21.57,22.124,Open
07/08/2026,21:05:40,21.578,22.108,Open
07/08/2026,21:05:41,21.568,22.116,Open
07/08/2026,21:05:42,21.572,22.114,Open
07/08/2026,21:05:43,21.553,22.095,Open
07/08/2026,21:05:44,21.56,22.088,Open
07/08/2026,21:05:45,21.566,22.059,Open
07/08/2026,21:05:46,21.555,22.012,Open
07/08/2026,21:05:47,21.566,21.991,Open
07/08/2026,21:05:48,21.552,21.953,Open
07/08/2026,21:05:49,21.561,21.953,Open
07/08/2026,21:05:50,21.555,21.973,Open
07/08/2026,21:05:51,21.555,22.0,Open
07/08/2026,21:05:52,21.569,22.053,Open
07/08/2026,21:05:53,21.557,22.082,Open
07/08/2026,21:05:54,21.564,22.12,Open
07/08/2026,21:05:55,21.562,22.13,Open
07/08/2026,21:05:56,21.569,22.135,Open
07/08/2026,21:05:57,21.56,22.101,Open
07/08/2026,21:05:58,21.569,22.089,Open
07/08/2026,21:05:59,21.571,22.027,Open
07/08/2026,21:06:00,21.557,21.973,Open
07/08/2026,21:06:01,21.554,21.923,Open
07/08/2026,21:06:02,21.551,21.881,Open
07/08/2026,21:06:03,21.549,21.853,Open
07/08/2026,21:06:04,21.556,21.84,Open
07/08/2026,21:06:05,21.545,21.796,Open
07/08/2026,21:06:06,21.541,21.778,Open
07/08/2026,21:06:07,21.543,21.812,Open
07/08/2026,21:06:08,21.532,21.883,Open
07/08/2026,21:06:09,21.534,21.916,Open
07/08/2026,21:06:10,21.541,21.928,Open
07/08/2026,21:06:11,21.534,21.902,Open
07/08/2026,21:06:12,21.531,21.864,Open
07/08/2026,21:06:13,21.539,21.854,Open
07/08/2026,21:06:14,21.538,21.831,Open
07/08/2026,21:06:15,21.541,21.812,Open
07/08/2026,21:06:16,21.54,21.79,Open
07/08/2026,21:06:17,21.548,21.771,Open
07/08/2026,21:06:18,21.553,21.768,Open
07/08/2026,21:06:19,21.547,21.767,Open
07/08/2026,21:06:20,21.555,21.777,Open
07/08/2026,21:06:21,21.557,21.762,Open
07/08/2026,21:06:22,21.554,21.746,Open
07/08/2026,21:06:23,21.561,21.754,Open
07/08/2026,21:06:24,21.561,21.751,Open
07/08/2026,21:06:25,21.555,21.74,Open
07/08/2026,21:06:26,21.565,21.728,Open
07/08/2026,21:06:27,21.566,21.733,Open
07/08/2026,21:06:28,21.562,21.721,Open
07/08/2026,21:06:29,21.56,21.698,Open
07/08/2026,21:06:30,21.567,21.69,Open
07/08/2026,21:06:31,21.563,21.699,Open
07/08/2026,21:06:32,21.564,21.68,Open
07/08/2026,21:06:33,21.57,21.674,Open
07/08/2026,21:06:34,21.559,21.677,Open
07/08/2026,21:06:35,21.567,21.684,Open
07/08/2026,21:06:36,21.561,21.664,Open
07/08/2026,21:06:37,21.56,21.646,Open
07/08/2026,21:06:38,21.548,21.627,Open
07/08/2026,21:06:39,21.573,21.641,Open
07/08/2026,21:06:40,21.563,21.627,Open
07/08/2026,21:06:41,21.556,21.619,Open
07/08/2026,21:06:42,21.565,21.604,Open
07/08/2026,21:06:43,21.565,21.595,Open
07/08/2026,21:06:44,21.572,21.588,Open
07/08/2026,21:06:45,21.576,21.637,Open
07/08/2026,21:06:46,21.562,21.65,Open
07/08/2026,21:06:47,21.575,21.649,Open
07/08/2026,21:06:48,21.573,21.653,Open
07/08/2026,21:06:49,21.575,21.659,Open
07/08/2026,21:06:50,21.576,21.684,Open
07/08/2026,21:06:51,21.582,21.715,Open
07/08/2026,21:06:52,21.586,21.715,Open
07/08/2026,21:06:53,21.585,21.701,Open
07/08/2026,21:06:54,21.58,21.694,Open
07/08/2026,21:06:55,21.573,21.687,Open
07/08/2026,21:06:56,21.583,21.7,Open
07/08/2026,21:06:57,21.58,21.698,Open
07/08/2026,21:06:58,21.574,21.665,Open
07/08/2026,21:06:59,21.559,21.655,Open
07/08/2026,21:07:00,21.567,21.656,Open
07/08/2026,21:07:01,21.571,21.683,Open
07/08/2026,21:07:02,21.582,21.844,Open
07/08/2026,21:07:03,21.577,21.901,Open
07/08/2026,21:07:04,21.583,21.984,Open
